"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","70683","Search for mobile phones and extract product details","","2025-09-14","passed","2025-09-14","","","",""
"","4824","Read Excel and create users","","2025-09-14","passed","2025-09-14","","","",""
